河南频道,#genre#
CCTV9,http://123.14.87.87:8888/hls/9/index.m3u8
CCTV9,http://123.14.89.200:8888/hls/9/index.m3u8
CCTV9,http://182.122.74.71:8089/hls/9/index.m3u8
卫视频道,#genre#
东南卫视,http://106.46.36.33:808/hls/83/index.m3u8
东南卫视,http://123.14.87.87:8888/rtp/225.1.4.32:1061
东南卫视,http://123.14.89.200:8888/rtp/225.1.4.32:1061
东南卫视,http://182.122.74.71:8089/hls/46/index.m3u8
东方卫视,http://106.46.36.33:808/hls/62/index.m3u8
东方卫视,http://123.14.87.87:8888/hls/19/index.m3u8
东方卫视,http://123.14.89.200:8888/hls/19/index.m3u8
东方卫视,http://182.122.74.71:8089/hls/34/index.m3u8
云南卫视,http://106.46.36.33:808/hls/79/index.m3u8
云南卫视,http://123.14.87.87:8888/rtp/225.1.4.33:1062
云南卫视,http://123.14.89.200:8888/rtp/225.1.4.33:1062
云南卫视,http://182.122.74.71:8089/hls/43/index.m3u8
内蒙古卫视,http://106.46.36.33:808/hls/84/index.m3u8
北京卫视,http://106.46.36.33:808/hls/64/index.m3u8
北京卫视,http://123.14.87.87:8888/hls/26/index.m3u8
北京卫视,http://123.14.89.200:8888/hls/26/index.m3u8
北京卫视,http://182.122.74.71:8089/hls/33/index.m3u8
厦门卫视,http://123.14.87.87:8888/rtp/225.1.4.95:1124
厦门卫视,http://123.14.89.200:8888/rtp/225.1.4.95:1124
吉林卫视,http://106.46.36.33:808/hls/81/index.m3u8
吉林卫视,http://123.14.87.87:8888/rtp/225.1.4.36:1065
吉林卫视,http://123.14.89.200:8888/rtp/225.1.4.36:1065
四川卫视,http://106.46.36.33:808/hls/76/index.m3u8
四川卫视,http://123.14.87.87:8888/hls/32/index.m3u8
四川卫视,http://123.14.89.200:8888/hls/32/index.m3u8
四川卫视,http://182.122.74.71:8089/hls/41/index.m3u8
天津卫视,http://106.46.36.33:808/hls/78/index.m3u8
天津卫视,http://123.14.87.87:8888/hls/20/index.m3u8
天津卫视,http://123.14.89.200:8888/hls/20/index.m3u8
天津卫视,http://182.122.74.71:8089/hls/35/index.m3u8
宁夏卫视,http://106.46.36.33:808/hls/82/index.m3u8
安徽卫视,http://106.46.36.33:808/hls/68/index.m3u8
安徽卫视,http://123.14.87.87:8888/hls/21/index.m3u8
安徽卫视,http://123.14.89.200:8888/hls/21/index.m3u8
安徽卫视,http://182.122.74.71:8089/hls/37/index.m3u8
山东卫视,http://106.46.36.33:808/hls/67/index.m3u8
山东卫视,http://123.14.87.87:8888/hls/22/index.m3u8
山东卫视,http://123.14.89.200:8888/hls/22/index.m3u8
山东卫视,http://182.122.74.71:8089/hls/36/index.m3u8
山西卫视,http://106.46.36.33:808/hls/86/index.m3u8
山西卫视,http://123.14.87.87:8888/rtp/225.1.4.38:1067
山西卫视,http://123.14.89.200:8888/rtp/225.1.4.38:1067
广东卫视,http://106.46.36.33:808/hls/65/index.m3u8
广东卫视,http://182.122.74.71:8089/hls/48/index.m3u8
广西卫视,http://106.46.36.33:808/hls/85/index.m3u8
广西卫视,http://123.14.87.87:8888/rtp/225.1.4.31:1060
